date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
1-Oct-21,DNH and DD,2-Wheelers,1,628
1-Oct-21,DNH and DD,4-Wheelers,1,333
1-Oct-21,Himachal Pradesh,4-Wheelers,1,3201
1-Nov-21,DNH and DD,2-Wheelers,1,938
1-Nov-21,Puducherry,4-Wheelers,1,532
1-Dec-21,Andaman & Nicobar Island,4-Wheelers,1,122
1-Dec-21,DNH and DD,4-Wheelers,1,336
1-Dec-21,Himachal Pradesh,4-Wheelers,1,4105
1-Dec-21,Tripura,2-Wheelers,1,3579
1-Feb-22,DNH and DD,4-Wheelers,1,354
1-Feb-22,Meghalaya,4-Wheelers,1,917
